Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,46,8,"M:Microsoft.Maui.Storage.Preferences.Set(System.String,System.String)",,,,,"Preferences.Set(""lastGameName"", gameName ?? string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,40,8,T:Microsoft.Maui.Storage.Preferences,,,,,"var value = Preferences.Get(""lastGameName"", string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,40,8,"M:Microsoft.Maui.Storage.Preferences.Get(System.String,System.String)",,,,,"var value = Preferences.Get(""lastGameName"", string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,34,8,T:Microsoft.Maui.Storage.Preferences,,,,,Preferences.Remove(key);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,34,8,M:Microsoft.Maui.Storage.Preferences.Remove(System.String),,,,,Preferences.Remove(key);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,28,8,T:Microsoft.Maui.Storage.Preferences,,,,,"Preferences.Set(key, value ?? string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,28,8,"M:Microsoft.Maui.Storage.Preferences.Set(System.String,System.String)",,,,,"Preferences.Set(key, value ?? string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,22,8,T:Microsoft.Maui.Storage.Preferences,,,,,"var value = Preferences.Get(key, string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,22,8,"M:Microsoft.Maui.Storage.Preferences.Get(System.String,System.String)",,,,,"var value = Preferences.Get(key, string.Empty);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MyScoreBoardMaui/MyScoreBoardMaui.csproj,File,MyScoreBoardMaui/Services/LocalStorageService.cs,16,8,T:Microsoft.Maui.Storage.Preferences,,,,,"Preferences.Set(""hasActiveGame"", hasActive);"
